Meditate,명상하다
Instruction,지시 / 설명
Yet,하지만 / 아직
retreat,수련회 / 물러나다
sweating,땀 흘리기 / 땀 흘리는
daydream,몽상하다 / 공상
conserved,보존된
rebel,반항하다 / 반항자
it was no accident,그것은 우연이 아니었다
go from A to B,A에서 B로 가다 / 바뀌다
morbidity,질병 발생 / 이환율
mortality,사망 / 사망률
mindful,마음챙김하는 / 주의 깊은
disenchanted,환멸을 느낀 / 더 이상 매력을 느끼지 않는
Prefrontal Cortex,전전두엽 피질
tries its hardest,온 힘을 다한다 / 최선을 다한다
cognition,인지
spouse,배우자
visceral,본능적인 / 내장과 관련된 / 몸으로 느끼는
get caught up in,~에 휘말리다 / ~에 사로잡히다
craving,갈망 / 강한 욕구
posterior cingulate cortex,후대상피질
distraction,주의 산만 / 방해 요소
tap into,활용하다 / 끌어내다
perpetuate,지속시키다 / 영속화하다
